,volts,amps,power,sysstatus,timestamp,M_ID,packet_num
176,115.94,0.008,0.2,01100000_00010010,6.8715736865997314,_M_00002,149
177,115.96,0.008,0.1,01100000_00110010,6.904748916625977,_M_00002,149
178,115.94,0.008,0.0,01100000_00100010,6.937932014465332,_M_00002,149
179,115.94,0.008,0.1,01100000_00010010,6.971143007278442,_M_00002,149
180,117.03,0.006,0.0,01100000_00100010,6.023228645324707,_M_00005,149
181,116.96,0.006,0.0,01100000_00110010,6.041586399078369,_M_00005,149
182,117.06,0.01,-0.1,01100000_00100010,6.07476282119751,_M_00005,149
183,117.03,0.004,0.1,01100000_00010010,6.107970952987671,_M_00005,149
184,117.05,0.008,-0.1,01100000_00100010,6.141185998916626,_M_00005,149
185,117.1,0.008,-0.2,01100000_00100010,6.174357175827026,_M_00005,149
186,117.05,0.006,-0.4,01100000_00000010,6.207620859146118,_M_00005,149
187,116.97,0.008,0.6,01100000_00010010,6.240808486938477,_M_00005,149
188,117.08,0.006,0.1,01100000_00010010,6.273976802825928,_M_00005,149
189,117.05,0.006,0.1,01100000_00110010,6.3072004318237305,_M_00005,149
190,117.01,0.006,-0.1,01100000_00000010,6.340417861938477,_M_00005,149
191,117.08,0.006,0.0,01100000_00010010,6.373614072799683,_M_00005,149
192,117.05,0.006,-0.1,01100000_00000010,6.406797647476196,_M_00005,149
193,116.99,0.008,0.1,01100000_00010010,6.439970254898071,_M_00005,149
194,117.08,0.01,0.5,01100000_00010010,6.473198890686035,_M_00005,149
195,117.05,0.01,0.4,01100000_00110010,6.5064005851745605,_M_00005,149
196,116.99,0.01,0.5,01100000_00010010,6.539608001708984,_M_00005,149
197,117.08,0.012,-0.1,01100000_00000010,6.572802543640137,_M_00005,149
198,117.01,0.006,-0.1,01100000_00100010,6.606012344360352,_M_00005,149
199,117.12,0.008,-0.3,01100000_00100010,6.639157295227051,_M_00005,149
200,117.15,0.008,0.5,01100000_00110010,6.672331094741821,_M_00005,149
201,117.03,0.006,0.1,01100000_00010010,6.705558776855469,_M_00005,149
202,117.06,0.008,0.0,01100000_00100010,6.738755226135254,_M_00005,149
203,117.05,0.008,-0.5,01100000_00000010,6.77195143699646,_M_00005,149
204,117.03,0.008,0.4,01100000_00010010,6.805155277252197,_M_00005,149
205,117.05,0.008,0.1,01100000_00010010,6.838327646255493,_M_00005,149
206,117.12,0.008,0.3,01100000_00010010,6.8715736865997314,_M_00005,149
207,117.01,0.008,0.0,01100000_00110010,6.904748916625977,_M_00005,149
208,117.05,0.008,0.4,01100000_00110010,6.937932014465332,_M_00005,149
209,117.01,0.008,0.0,01100000_00010010,6.971143007278442,_M_00005,149
210,116.97,0.002,0.0,01100000_00110010,6.023228645324707,_M_00001,149
211,117.06,0.004,0.1,01100000_00010010,6.041586399078369,_M_00001,149
212,116.97,0.006,0.0,01100000_00110010,6.07476282119751,_M_00001,149
213,116.98,0.004,-0.1,01100000_00000010,6.107970952987671,_M_00001,149
214,117.0,0.006,0.0,01100000_00000010,6.141185998916626,_M_00001,149
215,116.97,0.004,0.3,01100000_00110010,6.174357175827026,_M_00001,149
216,117.0,0.002,-0.1,01100000_00100010,6.207620859146118,_M_00001,149
217,116.98,0.002,0.0,01100000_00010010,6.240808486938477,_M_00001,149
218,116.95,0.002,-0.1,01100000_00000010,6.273976802825928,_M_00001,149
219,117.0,0.004,0.0,01100000_00100010,6.3072004318237305,_M_00001,149
220,116.98,0.002,-0.2,01100000_00100010,6.340417861938477,_M_00001,149
