,volts,amps,power,sysstatus,timestamp,M_ID,packet_num
177,116.05,0.004,0.2,01100000_00110010,5.95607590675354,_M_00002,148
178,116.03,0.004,-0.2,01100000_00000010,5.972687721252441,_M_00002,148
179,116.05,0.004,0.2,01100000_00010010,5.989273548126221,_M_00002,148
180,116.05,0.002,-0.2,01100000_00100010,4.013113975524902,_M_00002,147
181,116.07,0.004,0.0,01100000_00000010,4.021070957183838,_M_00002,147
182,116.01,0.004,0.1,01100000_00110010,4.037775754928589,_M_00002,147
183,116.05,0.004,0.0,01100000_00110010,4.054355621337891,_M_00002,147
184,116.08,0.004,-0.1,01100000_00100010,4.0708887577056885,_M_00002,147
185,116.01,0.004,-0.1,01100000_00100010,4.087540149688721,_M_00002,147
186,116.05,0.004,0.3,01100000_00110010,4.1047985553741455,_M_00002,147
187,116.08,0.006,0.5,01100000_00010010,4.120830297470093,_M_00002,147
188,116.01,0.002,-0.2,01100000_00100010,4.1375415325164795,_M_00002,147
189,116.05,0.004,0.0,01100000_00100010,4.154194355010986,_M_00002,147
190,115.99,0.002,0.0,01100000_00110010,4.170848846435547,_M_00002,147
191,116.03,0.004,0.0,01100000_00000010,4.187446117401123,_M_00002,147
192,116.05,0.004,0.2,01100000_00010010,4.204070806503296,_M_00002,147
193,116.08,0.006,-0.1,01100000_00100010,4.2208733558654785,_M_00002,147
194,116.01,0.004,0.1,01100000_00110010,4.237532615661621,_M_00002,147
195,116.05,0.004,0.4,01100000_00110010,4.254170179367065,_M_00002,147
196,116.08,0.006,0.2,01100000_00010010,4.2707741260528564,_M_00002,147
197,115.99,0.004,0.0,01100000_00110010,4.287379741668701,_M_00002,147
198,116.08,0.004,0.0,01100000_00000010,4.30420184135437,_M_00002,147
199,116.07,0.002,0.0,01100000_00110010,4.320858716964722,_M_00002,147
200,116.01,0.004,0.0,01100000_00110010,4.337482690811157,_M_00002,147
201,116.08,0.004,-0.4,01100000_00100010,4.354094505310059,_M_00002,147
202,116.07,0.004,-0.2,01100000_00100010,4.37070894241333,_M_00002,147
203,116.03,0.002,0.1,01100000_00010010,4.38752293586731,_M_00002,147
204,116.08,0.004,-0.2,01100000_00100010,4.404177665710449,_M_00002,147
205,116.01,0.004,-0.2,01100000_00000010,4.420809745788574,_M_00002,147
206,116.03,0.004,0.2,01100000_00010010,4.437400579452515,_M_00002,147
207,116.16,0.004,0.0,01100000_00100010,4.454201936721802,_M_00002,147
208,116.01,0.004,0.2,01100000_00110010,4.470857858657837,_M_00002,147
209,116.03,0.004,0.1,01100000_00010010,4.487487316131592,_M_00002,147
210,116.1,0.004,0.3,01100000_00110010,4.504102945327759,_M_00002,147
211,116.1,0.002,-0.1,01100000_00000010,4.520720481872559,_M_00002,147
212,116.05,0.004,0.0,01100000_00010010,4.537532567977905,_M_00002,147
213,116.07,0.004,0.0,01100000_00110010,4.554184913635254,_M_00002,147
214,116.01,0.004,0.0,01100000_00110010,4.570776700973511,_M_00002,147
215,116.03,0.004,0.1,01100000_00010010,4.58738112449646,_M_00002,147
216,116.07,0.006,0.1,01100000_00110010,4.604189872741699,_M_00002,147
217,116.05,0.004,0.0,01100000_00110010,4.620855093002319,_M_00002,147
218,116.01,0.004,0.0,01100000_00010010,4.637454032897949,_M_00002,147
219,116.12,0.004,0.0,01100000_00100010,4.654062271118164,_M_00002,147
220,116.03,0.004,0.1,01100000_00010010,4.670854806900024,_M_00002,147
221,115.99,0.004,0.0,01100000_00110010,4.687519550323486,_M_00002,147
222,116.12,0.006,0.3,01100000_00110010,4.704143047332764,_M_00002,147
223,116.03,0.002,0.3,01100000_00110010,4.720744609832764,_M_00002,147
224,116.05,0.004,0.0,01100000_00010010,4.737529277801514,_M_00002,147
225,116.03,0.002,0.0,01100000_00010010,4.7542033195495605,_M_00002,147
226,116.05,0.006,0.1,01100000_00010010,4.770817518234253,_M_00002,147
227,116.01,0.004,0.1,01100000_00010010,4.787423133850098,_M_00002,147
228,116.1,0.002,0.2,01100000_00110010,4.804187536239624,_M_00002,147
229,116.05,0.004,0.1,01100000_00110010,4.820855379104614,_M_00002,147
